client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;note;report_generated_at
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;;2026-01-01
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;;2026-01-01
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непролонгировано;;2026-01-01
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-08-01;2024-06-01;отвал;;2026-01-01
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);;2026-01-01
311;310|311;Гамма Ритейл Про;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;;2026-01-01
311;310|311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;;2026-01-01
321;320|321;Дельта Реклама;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;;2026-01-01
321;320|321;Дельта Реклама;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;неизвестно;требует уточнения;2026-01-01
330;330;Кварц Медиа;Крауд-маркетинг;6;1;2024-01-01;2024-06-01;2024-06-01;непролонгировано;;2026-01-01
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2024-11-01;2025-10-01;2025-02-01;неизвестно;требует уточнения;2026-01-01
331;331;Титан Строй;Мониторинг СМИ;12;1;2024-01-01;2024-12-01;2024-06-01;неизвестно;требует уточнения;2026-01-01
331;331;Титан Строй;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;;2026-01-01
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-04-01;отвал;;2026-01-01
340;340;Сигма Групп;Управление репутацией;6;2;2024-06-01;2024-11-01;2024-09-01;неизвестно;требует уточнения;2026-01-01
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;пролонгировано;;2026-01-01
350;350;Орион Диджитал;Управление репутацией;6;2;2025-09-01;2026-02-01;2026-01-01;неизвестно;требует уточнения;2026-01-01
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;непролонгировано;;2026-01-01
