project_id;project_name;service_type;project_type;term_months
301;Аврора Клиник;Управление репутацией;Обычный;6
302;БетаСтрой;Крауд-маркетинг;Обычный;6
303;Эверест Тур;Управление репутацией;Обычный;6
304;Нова Медиа;Разовый аудит;Разовый;1
310;Гамма Ритейл;Управление репутацией;Обычный;6
311;Гамма Ритейл Про;Управление репутацией;Обычный;6
320;Дельта Пиар;Управление репутацией;Обычный;6
321;Дельта Реклама;Управление репутацией;Обычный;6
330;Кварц Медиа;Мониторинг СМИ;Обычный;12
331;Титан Строй;Управление репутацией;Обычный;6
340;Сигма Групп;Управление репутацией;Обычный;6
350;Орион Диджитал;Управление репутацией;Обычный;6
351;Пульс Медиа;Управление репутацией;Обычный;6
