client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;report_generated_at
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2025-09-01
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непролонгировано;2025-09-01
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-08-01;2024-06-01;отвал;2025-09-01
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);2025-09-01
311;310|311;Гамма Ритейл Про;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01
311;310|311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2025-09-01
321;320|321;Дельта Реклама;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01
321;320|321;Дельта Реклама;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;непролонгировано;2025-09-01
330;330;Кварц Медиа;Мониторинг СМИ;12;1;2024-01-01;2024-12-01;2024-12-01;пролонгировано;2025-09-01
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2025-01-01;2025-12-01;2025-02-01;непролонгировано;2025-09-01
331;331;Титан Строй;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01
331;331;Титан Строй;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2025-09-01
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-04-01;отвал;2025-09-01
340;340;Сигма Групп;Управление репутацией;6;1;2024-06-01;2024-11-01;2024-09-01;непролонгировано;2025-09-01
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;неизвестно;2025-09-01
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;неизвестно;2025-09-01
