project_id;month;amount;label;part
301;2024-01-01;155000;;основная часть
301;2024-02-01;75000;;первая часть
301;2024-02-01;75000;;вторая часть
301;2024-03-01;145000;;основная часть
301;2024-04-01;140000;;основная часть
301;2024-05-01;135000;;основная часть
301;2024-06-01;130000;;основная часть
301;2024-07-01;125000;;основная часть
301;2024-08-01;120000;;основная часть
301;2024-09-01;170000;;основная часть
301;2024-10-01;165000;;основная часть
301;2024-11-01;160000;;основная часть
301;2024-12-01;155000;;основная часть
302;2024-02-01;180000;;основная часть
302;2024-03-01;175000;;основная часть
302;2024-04-01;170000;;основная часть
302;2024-05-01;165000;;основная часть
302;2024-06-01;215000;;основная часть
302;2024-07-01;210000;;основная часть
303;2024-03-01;260000;;основная часть
303;2024-04-01;255000;;основная часть
303;2024-05-01;250000;;основная часть
303;2024-06-01;245000;;основная часть
303;2024-07-01;0;СТОП;
304;2024-05-01;265000;;основная часть
310;2024-01-01;245000;;основная часть
310;2024-02-01;240000;;основная часть
310;2024-03-01;235000;;основная часть
310;2024-04-01;230000;;основная часть
310;2024-05-01;225000;;основная часть
310;2024-06-01;220000;;основная часть
311;2024-07-01;280000;;основная часть
311;2024-08-01;275000;;основная часть
311;2024-09-01;270000;;основная часть
311;2024-10-01;265000;;основная часть
311;2024-11-01;260000;;основная часть
311;2024-12-01;255000;;основная часть
320;2024-01-01;380000;;основная часть
320;2024-02-01;375000;;основная часть
320;2024-03-01;370000;;основная часть
320;2024-04-01;365000;;основная часть
320;2024-05-01;360000;;основная часть
320;2024-06-01;355000;;основная часть
321;2024-04-01;420000;;основная часть
321;2024-05-01;415000;;основная часть
321;2024-06-01;410000;;основная часть
321;2024-07-01;405000;;основная часть
321;2024-08-01;400000;;основная часть
321;2024-09-01;395000;;основная часть
330;2024-01-01;200000;;основная часть
330;2024-02-01;195000;;основная часть
330;2024-03-01;190000;;основная часть
330;2024-04-01;185000;;основная часть
330;2024-05-01;180000;;основная часть
330;2024-06-01;175000;;основная часть
330;2024-11-01;200000;;основная часть
330;2024-12-01;195000;;основная часть
330;2025-01-01;210000;;основная часть
330;2025-02-01;205000;;основная часть
331;2024-01-01;245000;;основная часть
331;2024-02-01;240000;;основная часть
331;2024-03-01;235000;;основная часть
331;2024-04-01;230000;;основная часть
331;2024-05-01;225000;;основная часть
331;2024-06-01;220000;;основная часть
331;2024-07-01;215000;;основная часть
331;2024-08-01;210000;;основная часть
331;2024-09-01;260000;;основная часть
331;2024-10-01;255000;;основная часть
331;2024-11-01;250000;;основная часть
331;2024-12-01;245000;;основная часть
340;2024-01-01;335000;;основная часть
340;2024-02-01;330000;;основная часть
340;2024-03-01;325000;;основная часть
340;2024-04-01;320000;;основная часть
340;2024-05-01;0;стоп;
340;2024-06-01;310000;;основная часть
340;2024-07-01;305000;;основная часть
340;2024-08-01;300000;;основная часть
340;2024-09-01;350000;;основная часть
350;2025-03-01;170000;;основная часть
350;2025-04-01;165000;;основная часть
350;2025-05-01;160000;;основная часть
350;2025-06-01;155000;;основная часть
350;2025-07-01;150000;;основная часть
350;2025-08-01;145000;;основная часть
350;2025-09-01;140000;;основная часть
350;2025-10-01;135000;;основная часть
350;2025-11-01;130000;;основная часть
350;2025-12-01;125000;;основная часть
350;2026-01-01;140000;;основная часть
351;2025-03-01;215000;;основная часть
351;2025-04-01;210000;;основная часть
351;2025-05-01;205000;;основная часть
351;2025-06-01;200000;;основная часть
351;2025-07-01;195000;;основная часть
351;2025-08-01;190000;;основная часть
